"2017-En-40023","	Este la mayoría de mierda de deprimir nunca	","sadness", 0.861
"2017-En-21614","	Amor todo el ex Unió directores en Twitter quiénes forman nuestro fanbase . Honestamente I desesperación en tiempo . Justo respaldar el equipo maldito eh #MUFC	","sadness", 0.667
"2017-En-40195","	Brb yendo a sulk en empotrar hasta que viernes	","sadness", 0.646
"2017-En-41412","	siempre está deprimiendo para ordenar WordPress plugin recomendaciones no por ' mejores ' pero por ' menos ofensivos en plazos de características de prima . '	","sadness", 0.562
"2017-En-40762","	@username  Es adelante en las encuestas & después de Triunfos dismal rendimiento en upcoming debate,  sea un fácil ganar para Hillary.	","sadness", 0.174
"2017-En-41344","	 Es bastante deprimiendo cuándo u cacerola de golpe en ur favorito highlighter	","sadness", 0.646
"2017-En-41444","	@username  juro no iré llorar porque 😭 😭 💔 💔	","sadness", 0.667
"2017-En-40889","	@username @username cualquier Sam está agarrándose vuestro tee parece  tiene un droop en 😂	","sadness", 0.250
"2017-En-41033","	@username depresión de dado justo .	","sadness", 0.729
"2017-En-40170","	@username Pienso que la tristeza está sentida muy fuertemente físicamente y mentalmente .  Siente gusta  toma encima y es duro de centrar en trabajar #MHChat	","sadness", 0.667
"2017-En-40031","	@username anillo de anillo ! #La depresión aquí está	","sadness", 0.833
"2017-En-40181","	Teniendo vacaciones blues ! #WantToGoBackToMinehead .	","sadness", 0.661
"2017-En-41245","	 Perdí mi cartera, entonces encontrado lo, entonces lo perdió otra vez Y ENTONCES ENCONTRADO LO!!!!! \nCollege Es brazy	","sadness", 0.125
"2017-En-40467","	es mi última semana en CN ! Voy a ser triste de dejar, pero esto también será mi primera rotura prevista desde entonces yendo a animación!	","sadness", 0.438
"2017-En-40079","	@username @username Mi dios es @username un chelín lleno ? Seriamente  necesitas un importante rethink o ningún laboratorio gove en vuestro lifetime #triste	","sadness", 0.750
"2017-En-40032","	es ahora septiembre y todavía estamos batallando una situación que estuvo dicho para ser Marcha manejada de este año . @username Esto es inaceptable #infeliz	","sadness", 0.833
"2017-En-22047","	@username @username Ha sí - la mirada de desesperación !	","sadness", 0.479
"2017-En-40102","	Enfermo decirlo otra vez . Si era un hombre Negro Id ser temeroso de dejar mi casa o tener un emotivo violation . \ n \ n #TerranceCrutcher #La verdad #triste	","sadness", 0.729
"2017-En-41365","	I siente como una carga cada día que  malgasto pero no sé cómo para salir de este bc consigo tan desanimado todo  quiero hacer es pone alrededor 🙃	","sadness", 0.896
"2017-En-41349","	 pagaría dinero bueno para mirar alguien abofetea que pout fuera Candice .	","sadness", 0.417
"2017-En-20912","	ACT num #grupo & #de depresión de la ansiedad . @username Empezando Mon octubre num para num semanas . Me contacto para registrar ahora ! #mindfulness #Halifax	","sadness", 0.562
"2017-En-41416","	Escuchando a música de casa escolar vieja kentphonic-sunday duchas ' colgando alrededor ' ' cantarlo atrás ' #blues	","sadness", 0.375
"2017-En-40644","	@username lazos fuera de momento . Más que sulk,  estoy yendo a @UCSF para una opinión de los tipos que estudian #Oligodendroglioma. ✌️&amp; ❤️ &amp; 🍩 Es	","sadness", 0.312
"2017-En-40231","	@username siempre infeliz y fácilmente ofendió .	","sadness", 0.604
"2017-En-40953","	Cuándo pase de mina,  sé  seré inconsolable &amp; devastado. Para un rato.	","sadness", 0.862
"2017-En-40887","	@username hmmm ...  Puedes tener un punto ...  Pensé Twitter tenido atenúa 😂 . LAMINATION	","sadness", 0.542
"2017-En-40217","	Justo tendré que comer # mi manera a #sobriety . Esto'll ser un infierno de un viaje atrás a #la depresión	","sadness", 0.625
"2017-En-40000","	serena chupa ! #Depresión	","sadness", 0.958
"2017-En-40981","	no me preocupo qué forma el blues es en . \ nWe Deberles un maldito escondiendo . \ nLong overdue En aquel frente .	","sadness", 0.354
"2017-En-40741","	@username @username yeah Si quieres devenir obeso  es ! 😅  Lo puedo proporcionar tan no pienso  es que serio haha	","sadness", 0.208
"2017-En-41346","	@username Lejos de seguro y staid  encontré él horribly OTT en tiempo mientras todo el mundo parecía para ser probando justo un poco demasiado duro . No para	","sadness", 0.479
"2017-En-41486","	mí @username Su dorado marrón hues conocido con aquella criatura blues como sus armas cruzaron sobre los pechos  haya sido gulking en . ' Dejado me suposición -	","sadness", 0.208
"2017-En-40474","	algunas personas dejan lavabos en estados siniestros malditos	","sadness", 0.420
"2017-En-40559","	no quiero perfecto . Es demasiado aburrido y atenuar .	","sadness", 0.360
"2017-En-41385","	@username Bien hecho bro 😏 #blues #stategames #capitán #shootthegerman	","sadness", 0.229
"2017-En-41093","	Hoy : Kudos a Jaime Garcia en un bien outing . #Animando . Última Semana : Judo a Jaime Garcia para un dismal outing . #Desalentando	","sadness", 0.542
"2017-En-40911","	num podría ser un número serio, pero 10 sonidos mejores. Carrera de tarjeta salvaje!!	","sadness", 0.208
"2017-En-40699","	Los aficionados sientan y espera para inspiración, el resto de nosotros justo se levantan e ir para trabajar.' -- Autores de King #del Stephen #serios #writingtip	","sadness", 0.271
"2017-En-41465","	@username Aww resto vuestra cabeza cansada aquí	","sadness", 0.396
"2017-En-41071","	El @username es en contienda y hosting @username la nación y El Camden es vacíos	","sadness", 0.375
"2017-En-40822","	Mi vida fue de feliz a infeliz ..	","sadness", 0.812
"2017-En-40793","	Hola Mis amigos queridos, estaré de vuelta on-line esta noche de viernes.  Te pierdes! #Sereno #sobriety #recuperación	","sadness", 0.417
"2017-En-40519","	Aquello soy para el anochecer, aun así! La manera también encendida para acabar estos fuera correctamente sin causar algún serio mischief.	","sadness", 0.396
"2017-En-40178","	@username Servicio pobre esta noche para encontrar titulares de ticket de la estación en los asientos adquirimos on-line . Forzado para mover más allá fuera #infeliz	","sadness", 0.667
"2017-En-41433","	@username @username MISMO ! Siempre lo digo era el tiempo mejor de mi vida .  Cerré mi tienda abajo y  sea tan deprimiendo	","sadness", 0.729
"2017-En-41420","	Cuántos tweets es que ahora ? Qué rápidamente era I yendo ? Dios, encanto ser #sereno y #inteligente.	","sadness", 0.312
"2017-En-41449","	@username Puede Elliot Friedman complacer la parón que habla,  eres clueless. No has visto la pelota desde el saque. #mope	","sadness", 0.606
"2017-En-40502","	Hermana : ( jugador canadiense  algo sombrío . ) Jonathan Toews está arrugando la frente y no sabe por qué . #WorldCupOfHockey	","sadness", 0.404
"2017-En-40534","	Es una cosa solemne, y no escándalo pequeño en el Reino, para ver los niños del dios starving mientras sentados en la mesa del Padre. -AW Tozer	","sadness", 0.375
"2017-En-40851","	Recordando aquel día cuándo u todavía 'nt sabe kpop n pensamiento aproximadamente qué triste vuestra vida era sin él - Kpop seguidor	","sadness", 0.521
"2017-En-41514","	@username segundo par de balanza  he comprado aquello ha parado laborable después de que cambio de batería . Es esto un asunto eres consciente de ? #Infeliz	","sadness", 0.604
"2017-En-41393","	@username @username @username nums nuevo ondulatorio / techno - o jazz / blues dependiendo mi humor	","sadness", 0.271
"2017-En-41165","	@username @username lmao sobrecogimiento ... #Triste	","sadness", 0.521
"2017-En-41159","	No escrito para africano-americano \ n \ nNo refuge podría salvar el hireling y esclavo \ nFrom el terror de vuelo o el gloom de la tumba,	","sadness", 0.583
"2017-En-41295","	Venido aquí, dejado me  cualquier cosa  hago con él. #dismal	","sadness", 0.583
"2017-En-40506","	 Tengo problemas serios con la expectativa que privado philanthropy tendría que reemplazar servicios de gobierno funcional ... Esto es peligroso	","sadness", 0.396
"2017-En-40783","	@username @username aquello es tan bastante ! Me encanta el cielo en el de fondo y los puntos destacados morados con el atenuar los colores es grandes	","sadness", 0.088
"2017-En-41302","	@username Lol yeah  leí aquello pero yo se quedaron arriba y  no nap tillI recoge num personas que pienso que me tenemos 😂 😂 ! !	","sadness", 0.396
"2017-En-40939","	Ahora  estoy yendo a sulk otra vez para una semana hasta #OurGirl está de vuelta encima ! @username Y @username es el mejor ! @username	","sadness", 0.438
"2017-En-20758","	@username Como músico,  te puedo decir que más las personas consiguen desalentadas cuándo aprendiendo debido a shitty instrumentos que cualquier cosa más.	","sadness", 0.675
"2017-En-20810","	 Vi alguien desalenta alguien de siguiente sus sueños . Justo porque  quieres vivir en la mediocridad no significa alguien más tiene que .	","sadness", 0.479
"2017-En-40443","	Probando pensar positivo, y no dejar esta situación me desalento ✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨	","sadness", 0.440
"2017-En-40072","	Nadie quiere ganar la tarjeta salvaje porque  tienes que jugar el Cubs en la carretera . #Tristeza	","sadness", 0.767
"2017-En-21952","	♪ el pez VIEJO #desalenta	","sadness", 0.656
"2017-En-41053","	El nuevo @username la canción es mega 💥 me recuerdo de @username #blues	","sadness", 0.146
"2017-En-41158","	 vine para trabajar para ninguna razón 😩 🔫 \ nI se podría haber quedado en empotrar	","sadness", 0.833
"2017-En-41104","	@username Bueno - cuz aquello es qué Triunfo es : un fucken ' N'azi . Don King-u havnt hundido este bajo desde u instalado Mike Tyson . num pathetic Dons .	","sadness", 0.479
"2017-En-41414","	Sus carreras de motor encima alimentan llamadas whining :-) \ n \ nU jst hv numb observador .. \ nHar Alboroto Rona dhona & reniega . \ nHappy Noticioso les hace infeliz :-)	","sadness", 0.479
"2017-En-41103","	Cuándo  pierdes alguien cierra a vuestro corazón te pierdes también 💔	","sadness", 0.708
"2017-En-41333","	#savemoney y #savelifes @ vuestro #openbar @username #weddingreception . Cercano lo num-num horas temprano, forzando vuestros huéspedes a serenos arriba antes de conducir.	","sadness", 0.333
"2017-En-40539","	Yendo para ser un looong año como Brown seguidor . Más largo que normal y aquello está	","sadness", 0.375
"2017-En-40283","	Comiendo un huevo es siniestro,  estás comiendo el material embodiment de un pedo y un unborn pollito	","sadness", 0.563
"2017-En-41314","	El chasquea / Insta pics  veo de los amigos  hice mientras en Cali es tan increíblemente deprimiendo la causa allí es ningún sitio bastante sería pero allí	","sadness", 0.729
"2017-En-21486","	ataques de Pánico son el peores . Sintiendo realmente enfermo y todavía sacudiendo . Tendría que ser un sueño . #Depresión #de ansiedad	","sadness", 0.917
"2017-En-40791","	Buddha no posee bastante poder de entregar tú de vuestra aflicción !	","sadness", 0.542
"2017-En-40199","	Mis amigos me dicen  soy bastante . El gatillo dice mi I soy feo . Primero estuve confundido pero entonces realizó soy ambos . Bastante feo . #tru #Triste #tumblr	","sadness", 0.640
"2017-En-20147","	Puede  volvemos num semanas e inicio otra vez ? ? Esto es seriamente terrible	","sadness", 0.667
"2017-En-41072","	El dos Brians, @BlackEyedNBlues &amp; @onthehorn500, también sabido como el Nigella Lawsons de #blues &amp; #pizza.	","sadness", 0.114
"2017-En-41338","	@username I involuntarily sonrisa cuándo  arrugas la frente en fotos . Y risita . Qué molesto ! !	","sadness", 0.263
"2017-En-40547","	Todo este hado y gloom !  Puntuamos de juego abierto otra vez ! Y sólo concedió dos este tiempo . #Progreso  significa un num-num sorteo el sábado para	","sadness", 0.375
"2017-En-40893","	mí Nuestros soldados en zonas de guerra están aguantados a un nivel más alto de reglas de compromiso que nuestros agentes policiales . #Triste	","sadness", 0.729
"2017-En-41091","	El bol en mi procesador alimentario nuevo rompió, @Cuisinart. #Tristeza.	","sadness", 0.583
"2017-En-40338","	Aquel AKnum dejar vuestra espina con un arrugar la frente	","sadness", 0.521
"2017-En-40426","	@username @username @username @username pensé que sea porque una vez se hunda sus dientes a algo aquello está significado numb sooked	","sadness", 0.458
"2017-En-40305","	U saber u haber demasiado en ur mente cuándo u te encontrar limpiando una estufa y cocina por tú en casi numam ... #pensive	","sadness", 0.542
"2017-En-40642","	num pax Disfrutado el #gloom @username @username	","sadness", 0.312
"2017-En-41175","	I amor cuándo #las chicas son ocupadas en enseñar cómo a #pout mientras tomando #selfie en un centro comercial, su desication es perfección #de amor de mujeres #inmensa	","sadness", 0.125
"2017-En-40646","	@username El @username tuvo un bueno uno pero entonces el reportero deja .	","sadness", 0.312
"2017-En-40323","	Enfermo decirlo otra vez . Si era un hombre Negro Id ser temeroso de dejar mi casa o tener un emotivo violation . \ n \ n #TerranceCrutcher #Verdad	","sadness", 0.542
"2017-En-41147","	 me tendría que haber quedado en casa .	","sadness", 0.458
"2017-En-40263","	Y hay desesperación debajo cada cual y cada acción \ nEach y cada intento de agujerear la armadura de numbness ' - Mgla	","sadness", 0.583
"2017-En-40317","	Mi sobrino ve que i tener un arrugar la frente en mi cara y él me digo ' eres bonito ' ! 😢 💞 😩	","sadness", 0.542
"2017-En-40014","	Una noche donde la depresión está ganando ... #Depresión #fml #ayuda	","sadness", 0.896
"2017-En-40462","	@username @username no tan triste como el Blanco Sox jugando registro ;)	","sadness", 0.438
"2017-En-40550","	la tumba de un batió, un bravehearted amante de cueva, amante de jaula, amante #de salvia que sopa #hecha de ti, torcido a spoony #melancholy, spikes, especias	","sadness", 0.375
"2017-En-40521","	@username  Remo Williams nunca de hecho ' salvar ' cualquiera o  él justo sulk alrededor matando aleatorio undesirables ?	","sadness", 0.396
"2017-En-40265","	Es siempre tan insensible siempre que i apena idgi	","sadness", 0.583
"2017-En-40306","	@username @username i llenado fuera del informe en #baitswitch por @username deja ir conseguirles las multas levaron . #badbusiness #honoryourdeal #Infeliz	","sadness", 0.542
